# 단어,품사,우리말샘ID
상당량,명사,636378
상승률,명사,663344
상업용,명사,748641
상용화,명사,631420
상용화되다,동사,634187
상용화하다,동사,634966
상원의원,명사,727566
상임위,명사,720224
상임위원장,명사,1278094
상장사,명사,1333045
새누리당,명사,1138421
새정치국민회의,명사,1116027
새천년민주당,명사,1142646
색깔론,명사,923990
생계형,명사,626264
생물정보학,명사,831120
생물학적,명사,635802
생식력,명사,821808
샤부샤부,명사,1381330
서강대,명사,1389619
서강대학교,명사,1389624
서대문구,명사,1387036
서명되다,동사,793684
서옥제,명사,726128
서울대,명사,1389495
서울대학교,명사,1384961
서울시,명사,1374800
서초구,명사,1387030
선거권자,명사,1103393
선물옵션,명사,618038
선발자,명사,631877
선진국형,명사,636882
선진당,명사,193842
선출직,명사,626189
설명회,명사,701497
설문조사,명사,669364
섬유유연제,명사,669910
섭취량,명사,753190
성과물,명사,766028
성균관대,명사,1389974
성균관대학교,명사,1385795
성동구,명사,1387033
성숙미,명사,636455
성인물,명사,652553
성폭행범,명사,707849
세발낙지,명사,1371782
세벌식,명사,1368226
세종시,명사,1388591
소독제,명사,714113
소매업체,명사,793687
소명감,명사,646064
소비자가,명사,776464
소비전력,명사,751805
소상공인,명사,703145
소속사,명사,647339
송금되다,동사,793691
송달료,명사,1070326
수급자,명사,786385
수록곡,명사,750004
수사적,명사,647112
수상작,명사,663459
수성구,명사,1387652
수입산,명사,753304
수평적,명사,648559
수학능력시험,명사,750729
수혜주,명사,774152
순매수,명사,950087
순종적,명사,647116
스노우보드,명사,805275
스노클,명사,950151
스토킹하다,동사,904810
스팸,명사,731932
승부사,명사,628091
시군구,명사,776600
시민군,명사,1281093
시상식장,명사,647869
시상자,명사,631160
시세차익,명사,1278376
시승기,명사,750056
시의성,명사,770056
신용불량자,명사,679520
신인상,명사,722045
신청곡,명사,657867
신흥국,명사,921931
실거래가,명사,629403
실구매가,명사,787627
실무진,명사,766043
실험군,명사,785732
실험용,명사,785733
실효적,명사,755381
심리학과,명사,647897
심혈관,명사,880169
쌍끌이,명사,787305
쌍팔년도,명사,1023093
쓰나미,명사,664601
아우라,명사,1368913
아자,감탄사,790768
아토피성,명사,1073537
악의적,명사,1119762
알래스카,명사,1387665
암기법,명사,783415
암호학,명사,732622
압수수색,명사,739185
애플,명사,767070
애플리케이션,명사,662844
앱스토어,명사,618153
야구계,명사,646174
약팀,명사,927367
양념치킨,명사,629696
양념통닭,명사,677756
양육권자,명사,702908
양천구,명사,1387013
얘네,명사,1373961
어린이용,명사,739747
업로드하다,동사,1389297
업무상,명사,845753
업종별,명사,808247
엠블럼,명사,1370052
여우주연상,명사,728930
여직원,명사,762956
여행비,명사,645865
연구소장,명사,635832
연구진,명사,662598
연세대,명사,1389493
연세대학교,명사,1384960
연속물,명사,881010
연습경기,명사,770396
연습실,명사,753185
연체율,명사,751933
열린우리당,명사,1142661
열애설,명사,707779
염기서열,명사,892129
염모제,명사,664131
엽관주의,명사,912826
영국령,명사,767338
영등포구,명사,1387012
영상레이더,명사,576886
영입되다,동사,926406
오겹살,명사,648843
오남용,명사,631414
오라클,명사,768921
오락기,명사,758674
오염물질,명사,843258
오픈소스,명사,832806
옮긴이,명사,893983
와이브로,명사,649063
왕벚나무,명사,639651
왕복선,명사,753181
외교력,명사,766014
외국계,명사,635777
외규장각,명사,751963
외무고시,명사,662677
외설적,명사,647143
외화유동성,명사,783233
외환보유고,명사,646188
외환보유액,명사,646189
외환위기,명사,766872
요금제,명사,720240
요약문,명사,854683
용산구,명사,1387034
용어집,명사,674939
운영자,명사,734804
운영진,명사,662600
워치콘,명사,1376782
원내대표,명사,755096
원톱,명사,1255075
웰빙,명사,1068193
웹사이트,명사,735010
웹페이지,명사,880182
위기설,명사,826462
위안화,명사,752023
위키,명사,829775
위험도,명사,783421
위협성,명사,638739
유골함,명사,825600
유료화,명사,753997
유류세,명사,670484
유보적,명사,757296
유선인터넷,명사,696186
유아용,명사,652575
유통사,명사,776823
유통업,명사,649162
유통업자,명사,637194
유통업체,명사,646998
유포자,명사,752049
유학파,명사,753243
유효성,명사,638748
육상부,명사,636814
은평구,명사,1387035
음모론,명사,701504
음반사,명사,621894
응시생,명사,703311
의류업체,명사,647004
의원직,명사,634763
이공계,명사,637973
이동식,명사,771642
