고법,명사,25319
고별전,명사,24646
고부가가치,명사,24072
고분고분히,부사,22789
고분자,명사,23679
고생물학,명사,23715
고소공포증,명사,23944
고소되다,동사,23934
고속도로,명사,391739
고속철도,명사,25679
고스트,명사,396543
고식지계,명사,396266
고엽제,명사,25744
고용노동부,명사,518501
고용량,명사,24503
고유명사,명사,395910
고유색,명사,395881
고유종,명사,22992
고육책,명사,399742
고의낙구,명사,393920
고의적삼,명사,26305
고이왕,명사,25591
고장난명,명사,395596
고전파,명사,25069
고점,명사,394072
고정관념,명사,393629
고정식,명사,26564
고지방,명사,516681
고지혈증,명사,394075
고택,명사,393625
고폭탄,명사,395108
고품격,명사,25935
고해성사,명사,24707
고흐,명사,396293
고흥,명사,25290
곡옥,명사,397590
곡학아세,명사,391659
곤란스럽다,형용사,27440
곤란스레,부사,27441
곤란히,부사,27439
곤충채집,명사,26059
곧이,부사,25086
골든디스크,명사,394293
골리앗,명사,27822
골상학,명사,27808
골육상잔,명사,397331
골육상쟁,명사,27913
골잡이,명사,26264
골품제,명사,28341
골품제도,명사,28342
골프공,명사,28345
공갈빵,명사,26430
공감각,명사,26926
공개방송,명사,26657
공격기,명사,28183
공격력,명사,28186
공고화,명사,27245
공고화하다,동사,27246
공공단체,명사,28211
공공투자,명사,28671
공국,명사,394491
공극,명사,28889
공극률,명사,28893
공기청정기,명사,394054
공동관리,명사,28746
공동대표,명사,394726
공동성명,명사,392435
공랭,명사,29296
공로상,명사,390920
공립대학,명사,27026
공멸,명사,516183
공멸하다,동사,516184
공모자,명사,28495
공무담임권,명사,28431
공민,명사,394647
공민왕,명사,394834
공법,명사,30190
공병대,명사,29031
공산주의자,명사,393400
공세적,명사,29642
공소권,명사,27362
공소사실,명사,397341
공소시효,명사,28103
공식전,명사,29336
공양왕,명사,397962
공연계,명사,28548
공인중개사,명사,398383
공작소,명사,28354
공장자동화,명사,28769
공정거래법,명사,398365
공정거래위원회,명사,30212
공중누각,명사,30604
공한지,명사,398559
공회전,명사,397625
과금,명사,515941
과금하다,동사,515942
과대광고,명사,30722
과부하,명사,31492
과산화수소,명사,398333
과속방지턱,명사,30556
과실상규,명사,30836
과장스럽다,형용사,398740
과전류,명사,32129
과학계,명사,398970
과학기술,명사,518396
과학사,명사,31067
관개수로,명사,31650
관계사,명사,398013
관광특구,명사,399394
관리자,명사,32380
관망세,명사,31990
관상동맥,명사,32722
관세법,명사,32066
관세율,명사,31780
관세음보살,명사,398250
관세청,명사,31914
관엽식물,명사,31929
관우,명사,399190
관음,명사,399412
관음증,명사,30470
관자,명사,29620
관할권,명사,33419
관형사형,명사,32429
괄태충,명사,32109
광개토대왕,명사,396041
광구,명사,32939
광물학,명사,399581
광우병,명사,516185
광종,명사,398460
광주광역시,명사,29843
광해군,명사,398397
괭이갈매기,명사,393474
괴도,명사,398445
괴로이,부사,33899
괴뢰,명사,33901
괴뢰정권,명사,398817
괴산,명사,34065
교각살우,명사,396286
교감신경,명사,396456
교과서적,명사,516691
교부금,명사,35918
교섭단체,명사,34467
교언영색,명사,396984
교육감,명사,33833
교육과학기술부,명사,517235
교육기관,명사,34914
교육세,명사,35906
교정판,명사,36488
교착어,명사,393663
교토,명사,35461
교통로,명사,399104
교학,명사,35531
교향,명사,35546
교환권,명사,35136
구글,명사,36174
구급상자,명사,36335
구동,명사,35300
구동하다,동사,393658
구루병,명사,399495
구명줄,명사,35901
구문론,명사,37553
구밀복검,명사,37294
구석차기,명사,36873
구소,명사,38048
구속영장,명사,399688
구자라트어,명사,38364
구제금융,명사,37775
구조선,명사,37787
구청장,명사,39332
구체,명사,39333
구축함,명사,37637
국가공무원법,명사,397451
국가권력,명사,38057
국가기관,명사,38059
국가배상법,명사,396970
국가보안법,명사,37455
국가보훈처,명사,37458
국가비상사태,명사,39283
국가안전보장회의,명사,36618
국가원수,명사,36516
국가유공자,명사,38109
국가정보원,명사,36548
국고채권,명사,39463
국군조직법,명사,37585
국기원,명사,400149
국내총생산,명사,38848
국립대학,명사,38521
국무부,명사,396833
국무위원,명사,39024
국무회의,명사,38758
국문법,명사,38577
국민당,명사,39221
국민소득,명사,39881
국민안전처,명사,518918
국민연금,명사,515918
국민투표,명사,39023
국세기본법,명사,35630
국세징수법,명사,39238
국수주의자,명사,39226
국숫집,명사,396835
국악인,명사,515762
국적법,명사,38905
국정감사,명사,40011
국정원,명사,509199
국정조사,명사,40015
국제사법재판소,명사,39427
국제사회,명사,39374
국제연합,명사,397407
국제원자력기구,명사,396656
국제형사재판소,명사,39037
국토해양부,명사,517241
국회도서관,명사,39716
국회법,명사,39767
국회의사당,명사,39968
국회의원,명사,399994
국회의장,명사,39970
군단장,명사,40330
군도,명사,41706
군무원,명사,397106
군사법원,명사,40767
군사작전,명사,40705
군사재판,명사,40891
군역,명사,40201
군용품,명사,41164
군음식,명사,40615
군주국,명사,39724
군주론,명사,39727
군집하다,동사,40473
군형법,명사,40394
굴절어,명사,405226
굴참나무,명사,400476
궁둥짝,명사,39350
궁수자리,명사,41616
권고문,명사,41321
권력기관,명사,42585
권력분립,명사,42586
권법,명사,41185
권불십년,명사,42393
권토중래,명사,400373
권한쟁의,명사,41797
궐위,명사,42022
귀뿌리,명사,42350
귀사,명사,400212
귀얄,명사,401064
귀의,명사,400205
귀책사유,명사,397894
규방,명사,42088
규소,명사,44814
규슈,명사,401385
균형감,명사,43493
균형미,명사,43775
귤나무,명사,44045
귤색,명사,44065
그넷줄,명사,44536
그놈,대명사,401609
그라탱,명사,43209
그래도,부사,45132
그러께,명사,400362
그레이스케일,명사,43069
그루지야,명사,44514
그루지야어,명사,401430
그리스도,명사,42994
그리스어,명사,44438
그리스인,명사,44439
그린란드,명사,45276
그린피스,명사,401596
극댓값,명사,401819
극락정토,명사,45288
극력하다,동사,44128
극솟값,명사,402009
극저온,명사,44684
극지,명사,403687
근무시간,명사,44409
근묵자흑,명사,46107
근원적,명사,516045
근위병,명사,45696
근저당,명사,45734
근초고왕,명사,45970
글공부하다,동사,400948
글리세린,명사,47120
글쇠,명사,515766
글월,명사,47239
글월문,명사,47240
금관악기,명사,400953
금단증상,명사,45386
금란지계,명사,46965
금맥,명사,47950
금배지,명사,46404
금비녀,명사,47380
금석문,명사,45170
금속재,명사,48217
금시,명사,399021
금융거래,명사,46664
금융기관,명사,46669
금융회사,명사,48159
금의야행,명사,49157
금잔화,명사,404790
금형,명사,402233
급랭,명사,48304
급매물,명사,402428
급물살,명사,509339
급반등,명사,516656
급식소,명사,47993
급유기,명사,404871
급정지,명사,46649
급정지하다,동사,46650
급진파,명사,46723
급커브,명사,515770
급팽창,명사,48314
기갑,명사,405488
기갑부대,명사,49074
기갑사단,명사,49075
기계공학,명사,406375
기계어,명사,48863
기계장치,명사,48746
기계체조,명사,404701
기고자,명사,49122
기관단총,명사,405489
기관사,명사,48044
기네스북,명사,404875
기념비적,명사,49125
기니피그,명사,49443
기댓값,명사,47837
기독교도,명사,49513
기동전,명사,48956
기록물,명사,518408
기마전,명사,49887
기망,명사,509416
기모노,명사,403068
기반하다,동사,533555
기보법,명사,50300
기부자,명사,49535
기사단,명사,405434
기상도,명사,51851
기상위성,명사,50412
기상이변,명사,50473
기상정보,명사,49875
기압계,명사,50532
기억상실,명사,405448
기억상실증,명사,515922
기운차다,형용사,50751
기울기,명사,50800
기자회견,명사,51285
기전체,명사,50338
기정사실화,명사,51439
기정사실화되다,동사,51440
기정사실화하다,동사,51489
기준치,명사,51287
기출,명사,47049
기타리스트,명사,50945
기탁,명사,51002
기통,명사,52018
기판,명사,407416
기호학,명사,50062
기화기,명사,51467
기화열,명사,51471
기화하다,동사,402481
기획재정부,명사,517233
기후변화,명사,50405
긴급차량,명사,51581
긴바늘,명사,51362
긴절하다,형용사,53581
긴팔원숭이,명사,50952
길드,명사,403144
길치,명사,52417
길항제,명사,52431
김정호,명사,403739
김정희,명사,52132
김포공항,명사,51874
김해,명사,405972
까끌까끌,부사,53600
까나리,명사,53206
까랑까랑,부사,400433
까랑까랑하다,형용사,53532
까옥거리다,동사,52899
까옥까옥,부사,53199
깍둑썰기,명사,52207
깔끔히,부사,53301
깔창,명사,400416
